customer_id,trans_date
CS5951,07-Aug-14
CS5515,19-Feb-12
CS3039,01-May-12
CS1836,24-Mar-12
CS4320,09-Apr-14
CS4889,01-Dec-11
CS1319,26-Sep-11
CS4859,07-Jan-15
CS4148,08-Feb-14
CS5264,03-Apr-13
CS4041,29-Dec-14
CS2183,04-Jan-13
CS2516,15-Feb-15
CS1890,03-Nov-12
CS3730,11-Feb-13
CS5382,07-Mar-13
CS5970,13-Jun-14
CS5260,30-Jan-15
CS2437,13-Nov-11
CS4675,11-Sep-11
CS2920,11-Oct-11
CS2548,28-Sep-13
CS1818,26-Dec-11
CS6098,28-Sep-12
CS2712,26-Dec-11
CS2714,14-Dec-11
CS2615,17-Aug-13
CS5445,27-Jul-14
CS5812,02-Nov-14
CS4636,22-Sep-13
CS3147,04-Jun-14
CS1273,01-Feb-12
CS4243,11-Nov-11
CS2357,13-Apr-12
CS1776,03-May-14
CS5643,02-Mar-13
CS4522,06-Mar-15
CS2418,01-Feb-15
CS1330,21-Nov-14
CS1195,29-Dec-14
CS4306,07-Mar-15
CS2137,29-Sep-13
CS3518,19-Jun-13
CS5835,18-Sep-11
CS4701,15-Jan-15
CS4548,28-Jun-12
CS2384,15-Oct-12
CS4081,17-Feb-13
CS5976,02-Jan-12
CS3874,08-Sep-11
CS5356,17-Jun-14
CS4667,17-Sep-14
CS4328,04-Jun-12
CS3291,02-Aug-13
CS4282,11-Sep-11
CS4331,25-Sep-11
CS1243,17-Mar-13
CS2390,20-May-14
CS2207,05-Apr-14
CS1270,18-Nov-11
CS1219,11-Nov-14
CS5427,13-Nov-12
CS5474,18-May-11
CS5109,23-May-12
CS5287,14-Mar-15
CS3477,05-May-13
CS3970,13-Dec-11
CS5760,08-Dec-11
CS2149,04-Apr-13
CS4934,19-Jul-14
CS1517,18-Oct-13
CS1641,29-Dec-12
CS2187,19-Nov-11
CS5359,12-Aug-14
CS3124,08-Dec-11
CS1721,30-Aug-12
CS5212,22-Jan-15
CS5111,23-Aug-11
CS3137,04-Apr-12
CS1511,25-Jan-15
CS2509,23-Feb-14
CS5994,11-Jan-14
CS2613,25-Aug-13
CS1934,18-Aug-14
CS3127,02-Oct-11
CS5225,18-Mar-14
CS1815,17-Nov-12
CS3552,27-Apr-14
CS1893,17-Nov-13
CS3621,26-Oct-13
CS4330,17-Jul-13
CS4991,20-Jul-13
CS2312,22-Oct-13
CS2359,04-Jun-12
CS4798,06-Dec-12
CS2507,28-Jun-12
CS1430,02-Sep-14
CS3787,23-Oct-13
CS4103,14-Apr-13
CS2881,24-Sep-12
CS1854,29-Sep-11
CS2863,23-Dec-12
CS5292,04-Sep-13
CS3184,07-Jan-12
CS2049,07-Oct-13
CS2832,16-Jul-13
CS2251,12-Apr-13
CS5667,25-Feb-14
CS1327,19-Feb-12
CS4927,12-Aug-13
CS2302,09-Sep-12
CS3901,11-Sep-12
CS5762,21-Apr-13
CS2289,13-Mar-12
CS2867,09-Feb-12
CS2359,10-Aug-14
CS5814,12-Dec-11
CS5129,21-Jun-11
CS2597,03-Jun-12
CS5838,01-Sep-12
CS5800,23-Apr-12
CS3786,16-Jul-13
CS3659,19-May-12
CS4400,03-Sep-11
CS3026,03-Jun-12
CS3632,10-Feb-13
CS1452,23-Mar-12
CS5140,11-Jul-14
CS5383,29-Dec-13
CS4695,17-Sep-13
CS2368,10-Aug-12
CS2066,15-Jul-11
CS5277,12-Jul-11
CS3025,30-Dec-11
CS4802,25-Jun-11
CS6001,16-Feb-14
CS3981,20-Sep-14
CS3885,29-Apr-14
CS5546,28-Aug-12
CS4964,20-May-14
CS4881,21-Jan-14
CS4103,02-Mar-14
CS5884,19-Dec-12
CS2765,18-Apr-13
CS4438,05-Jul-14
CS2234,21-Dec-14
CS3015,30-Jan-14
CS3755,01-Jan-15
CS3927,25-Mar-14
CS5799,08-Nov-12
CS5708,03-Jun-11
CS3695,20-Apr-13
CS1969,23-Oct-14
CS3854,09-Nov-14
CS3416,23-Feb-15
CS1414,01-Dec-13
CS4732,27-Mar-13
CS2493,29-Dec-12
CS5851,19-Jan-13
CS1678,09-May-14
CS2049,19-Mar-13
CS3676,27-Sep-11
CS4853,27-Mar-12
CS4292,04-Mar-14
CS3152,15-Dec-14
CS5640,13-Jan-14
CS5857,26-Sep-12
CS1472,12-Apr-14
CS3888,22-Feb-12
CS5563,23-Jun-13
CS5104,17-Sep-12
CS6109,01-Nov-13
CS2352,06-Oct-14
CS4024,01-Feb-14
CS1499,24-Dec-11
CS3071,15-Sep-12
CS5638,16-Dec-14
CS5533,16-May-13
CS1961,29-Mar-12
CS1707,15-Sep-11
CS3692,17-Sep-14
CS1275,28-Dec-11
CS4738,20-Mar-13
CS3732,12-Jun-11
CS5676,16-Dec-13
CS4111,26-Jul-12
CS2074,05-Jan-15
CS5815,03-Jan-15
CS5094,07-Mar-15
CS5431,05-Jan-13
CS4540,13-Aug-14
CS1891,25-Mar-13
CS4389,22-Mar-13
CS4412,07-Jan-12
CS1697,13-Jul-14
CS2720,11-Apr-12
CS1152,04-Aug-12
CS3796,14-Sep-13
CS6066,23-Aug-13
CS2643,20-Jul-14
CS6056,22-Mar-14
CS3489,09-Jan-13
CS5229,23-Nov-11
CS4649,16-Dec-14
CS4372,27-Aug-14
CS1790,04-Oct-12
CS1475,20-Aug-12
CS2452,05-Apr-14
CS2781,02-Jun-11
CS5260,25-Sep-14
CS5155,25-Dec-11
CS1582,24-May-14
CS4757,19-Aug-11
CS6039,05-Oct-13
CS1580,18-Nov-12
CS3815,05-Jul-11
CS6063,13-Apr-13
CS2226,29-Oct-14
CS5367,08-Jan-15
CS4581,04-Jun-13
CS5004,21-Dec-14
CS2164,06-Aug-13
CS4590,31-May-14
CS4600,03-Oct-11
CS2122,20-Feb-12
CS3060,24-Aug-12
CS2217,19-Apr-13
CS4288,21-Apr-14
CS1568,10-May-13
CS3442,16-Sep-14
CS4883,24-Dec-13
CS4911,17-Feb-12
CS1533,25-Jul-12
CS3103,07-May-14
CS2185,29-Jan-12
CS4094,24-Jul-13
CS4354,29-Dec-12
CS1939,25-Jul-12
CS5516,04-Dec-12
CS5664,02-Nov-13
CS5068,07-Nov-14
CS4376,13-Oct-14
CS5825,22-Oct-11
CS1871,16-Jan-12
CS5046,06-Feb-15
CS1259,30-Jun-13
CS5664,11-Sep-11
CS2986,20-Jul-11
CS5510,02-Sep-13
CS2845,10-Jan-13
CS4077,22-Jul-12
CS3466,04-Nov-13
CS1508,25-Oct-13
CS2469,19-Jul-14
CS2767,03-Jan-15
CS5790,17-Mar-12
CS1710,10-Jun-13
CS2554,05-Oct-11
CS5283,05-Feb-15
CS4050,30-Aug-14
CS5975,08-Sep-12
CS4227,16-Oct-12
CS5983,20-May-11
CS2490,04-Dec-13
CS1696,25-Dec-12
CS3209,25-Feb-14
CS2942,08-Jan-13
CS4981,16-Oct-11
CS1397,26-Mar-14
CS1903,15-Apr-13
CS3754,30-Nov-13
CS4763,12-Dec-11
CS4413,17-Jan-15
CS2333,13-Aug-11
CS2798,30-May-12
CS5033,13-Dec-11
CS1420,09-Sep-14
CS5132,14-Sep-11
CS3058,03-Sep-12
CS3692,22-Sep-13
CS2463,29-Sep-12
CS5209,11-Nov-11
CS4581,16-Nov-13
CS3424,02-Dec-13
CS3207,27-Jun-13
CS5763,23-Jan-13
CS5772,18-Jan-12
CS3673,29-Apr-13
CS2887,02-Mar-12
CS1596,28-Aug-11
CS4299,17-Jun-12
CS1492,06-Feb-14
CS2313,10-Apr-14
CS5385,25-Apr-14
CS3441,03-Nov-13
CS4701,26-Jul-14
CS1746,21-Jun-13
CS3276,27-Jul-13
CS2555,20-May-12
CS2569,29-Apr-14
CS3426,01-May-14
CS3052,17-Nov-13
CS1993,08-Aug-13
CS4908,27-Sep-14
CS3021,10-Feb-14
CS4424,16-May-13
CS4841,23-May-13
CS3486,19-Nov-12
CS2218,11-Oct-11
CS4779,29-Apr-12
CS4226,19-Apr-13
CS1653,30-Aug-11
CS2533,30-Mar-12
CS2905,29-Jul-12
CS5169,25-Jan-13
CS5142,25-Nov-12
CS4390,02-Jul-14
CS5668,27-Feb-14
CS2896,14-Jan-13
CS5156,02-Oct-13
CS4200,12-Aug-12
CS4391,07-Sep-14
CS5408,22-Jul-13
CS6019,25-Oct-13
CS3981,25-Jul-12
CS5925,20-Jun-13
CS3964,14-Nov-13
CS4688,20-May-13
CS1343,02-Jun-12
CS6024,14-Oct-12
CS2816,18-Dec-11
CS2434,20-May-12
CS6018,18-May-12
CS2072,07-Jul-12
CS2897,03-Dec-13
CS1680,14-Oct-13
CS1638,05-Aug-13
CS1165,12-Apr-12
CS4593,04-Jan-12
CS3414,13-Nov-11
CS2252,28-Feb-13
CS3598,30-Jul-13
CS3642,19-May-14
CS5948,10-Jul-14
CS5582,23-May-14
CS6107,23-Jul-11
CS5201,02-Jul-11
CS1639,05-May-13
CS5884,20-Nov-12
CS3515,07-Jul-14
CS2332,29-Aug-13
CS5628,16-Dec-14
CS4830,13-Apr-12
CS1673,04-Jan-12
CS4993,01-Jun-11
CS2603,01-Jul-13
CS1800,20-Nov-13
CS3911,09-Jun-12
CS5465,05-Dec-11
CS2373,29-Mar-12
CS1241,06-Mar-13
CS4244,15-Feb-13
CS5233,05-Jun-13
CS5405,04-Dec-13
CS4115,30-Nov-11
CS4283,23-Dec-11
CS4420,28-May-14
CS4779,08-May-13
CS2567,15-Jul-11
CS3629,30-Sep-14
CS2026,25-Aug-13
CS4338,05-Jul-13
CS4142,20-May-12
CS2837,10-Nov-12
CS1625,05-Nov-13
CS4873,20-Nov-12
CS3376,28-Aug-12
CS4311,27-Feb-12
CS1396,25-Sep-12
CS3779,29-Jan-14
CS1997,09-Oct-12
CS4540,17-May-12
CS5299,22-Dec-12
CS2253,21-Nov-12
CS6066,17-Mar-14
CS6077,22-Nov-12
CS3300,28-Dec-14
CS5922,31-Mar-12
CS6009,13-Mar-14
CS5064,19-Feb-13
CS2399,21-Apr-14
CS5547,27-Sep-12
CS5114,23-Sep-12
CS3908,10-Nov-11
CS4194,24-Apr-13
CS5342,15-Oct-12
CS5425,04-Aug-12
CS1991,29-Sep-14
CS2693,27-Aug-13
CS5076,31-Jan-15
CS3177,08-Jun-11
CS2809,02-Jun-12
CS3864,06-Dec-13
CS2515,11-Dec-11
CS4487,25-Aug-11
CS3108,20-Aug-11
CS1133,28-Jul-14
CS5919,04-Mar-12
CS6067,04-Sep-12
CS4893,24-Oct-13
CS5750,25-Mar-14
CS1445,13-Nov-11
CS1710,26-Oct-11
CS1927,23-Dec-13
CS5719,10-Jul-11
CS2591,29-Jan-14
CS2416,13-Feb-13
CS1347,10-Feb-13
CS3073,13-Feb-15
CS3590,23-Oct-13
CS4099,29-May-14
CS4109,21-Aug-12
CS6072,20-Dec-11
CS3266,17-Nov-12
CS1433,22-Dec-14
CS5499,23-Jun-11
CS1533,20-Jul-12
CS5405,21-Apr-12
CS4971,28-May-13
CS5461,06-Feb-12
CS6088,27-Jan-13
CS1984,04-Sep-12
CS1184,05-Jan-13
CS4346,09-Dec-12
CS5245,29-Oct-14
CS5402,03-Nov-11
CS2765,29-Aug-11
CS5785,20-Jun-13
CS5767,29-May-13
CS2753,17-Jun-12
CS2252,04-Sep-12
CS5488,28-Jun-12
CS5354,23-Sep-14
CS1470,11-Feb-12
CS1155,16-Oct-11
CS5565,04-Jun-14
CS6073,07-Feb-15
CS2817,11-Jun-14
CS3210,29-Oct-11
CS4688,16-Oct-12
CS4663,24-Feb-13
CS4539,28-Jul-12
CS2580,09-Jul-12
CS3983,15-Oct-12
CS2771,02-Jul-12
CS3635,03-Feb-15
CS1415,21-Jan-12
CS2294,04-Mar-15
CS1405,18-Sep-13
CS1582,16-Jan-14
CS2886,09-Nov-13
CS2770,07-Nov-14
CS1140,28-Dec-14
CS2333,25-Jan-14
CS4752,20-Apr-13
CS5687,26-Jul-11
CS4895,11-Jan-14
CS2786,28-Nov-11
CS1927,24-May-12
CS4327,26-Sep-14
CS1624,30-Mar-13
CS5490,19-Aug-14
CS4395,26-Feb-12
CS3174,25-Jan-13
CS2011,06-Jun-13
CS5553,07-Jan-15
CS3775,23-Feb-12
CS2885,08-Nov-12
CS1206,11-Aug-14
CS4480,23-May-12
CS1488,12-Feb-15
CS1456,08-Feb-13
CS4681,03-Feb-14
CS3170,16-Oct-12
CS1906,18-May-14
CS5774,28-Feb-15
CS6063,29-Sep-11
CS2223,17-Jan-14
CS1848,27-Sep-11
CS2366,08-Apr-14
CS5335,13-Jan-14
CS2899,12-Oct-12
CS4219,06-Dec-13
CS5690,19-Jan-15
CS3410,06-Sep-14
CS1337,24-Jul-14
CS4954,02-Nov-12
CS4400,23-Aug-11
CS3652,07-Feb-15
CS5677,28-Feb-13
CS4992,21-Oct-12
CS3569,17-Aug-14
CS2442,30-Apr-14
CS4160,15-May-12
CS5996,18-Nov-11
CS2345,14-Jun-11
CS2246,10-Aug-11
CS2928,16-Jul-13
CS1740,28-Sep-14
CS2298,12-Sep-11
CS5283,01-Dec-12
CS6084,15-Aug-13
CS3237,22-Jan-13
CS4913,22-Jul-14
CS2104,25-Oct-14
CS4645,02-Dec-13
CS1128,23-Apr-14
CS4639,27-Jul-12
CS4310,13-Sep-11
CS3182,18-Jan-13
CS3347,23-Jul-12
CS4231,23-Feb-15
CS4171,31-Oct-14
CS3137,03-Aug-13
CS1249,23-May-12
CS3455,03-Oct-11
CS1235,30-May-12
CS4454,27-Aug-13
CS3180,09-Mar-14
CS2930,16-Jan-14
CS3838,23-Mar-12
CS1883,12-Oct-14
CS5148,19-Nov-12
CS4952,21-Nov-11
CS5724,04-Nov-11
CS1447,19-Mar-12
CS1693,28-Jan-12
CS4341,17-Mar-14
CS3598,08-Aug-12
CS5659,02-Aug-12
CS5367,01-Dec-14
CS1501,27-Feb-13
CS2134,15-Jul-14
CS3407,17-Sep-14
CS3343,03-Apr-14
CS3506,12-Mar-13
CS2244,05-May-13
CS1243,04-Dec-12
CS3061,02-Dec-13
CS4884,10-Feb-15
CS1590,09-Apr-14
CS3176,28-Jul-14
CS5638,12-Nov-14
CS2122,21-Oct-12
CS2177,30-Jan-15
CS3074,27-May-11
CS3433,20-Dec-12
CS3418,02-Mar-13
CS5821,23-Jun-12
CS2231,08-Jan-15
CS5356,01-Apr-14
CS5803,28-Nov-14
CS5611,29-Dec-14
CS5012,31-Dec-11
CS4967,07-Apr-13
CS2522,06-Oct-14
CS2328,20-Feb-15
CS3530,13-May-13
CS5034,01-Jun-14
CS5784,21-Nov-11
CS3581,17-Aug-11
CS3011,14-Dec-14
CS4152,12-Feb-13
CS5757,08-Feb-14
CS5557,23-Jan-12
CS3988,17-Apr-12
CS3396,25-Dec-11
CS4393,10-Feb-15
CS4629,21-Dec-12
CS3821,03-Jul-13
CS3460,19-Sep-11
CS4948,18-Feb-13
CS3786,17-Oct-11
CS5468,08-Jun-12
CS1545,16-Sep-14
CS4960,16-Feb-14
CS3555,05-Aug-13
CS4587,31-Oct-12
CS1228,27-Sep-11
CS5126,22-Dec-12
CS1453,23-Mar-14
CS5938,20-Nov-12
CS3135,31-Jul-12
CS4444,29-Mar-13
CS5348,06-Dec-14
CS1416,27-Nov-12
CS5400,07-May-14
CS2313,23-Dec-12
CS5187,28-Jan-12
CS3426,02-Apr-13
CS2309,31-May-11
CS4564,29-Mar-13
CS3291,30-Dec-12
CS2607,19-Feb-13
CS1882,23-Sep-14
CS2248,17-Aug-11
CS4082,15-Feb-15
CS3181,27-Apr-14
CS2462,25-Feb-12
CS2336,22-Sep-13
CS3235,02-Jul-12
CS2748,11-Jan-12
CS3668,25-Aug-12
CS1296,14-Jan-14
CS5356,12-Oct-12
CS4079,21-Aug-12
CS4864,06-Jan-14
CS2860,24-May-13
CS4851,23-Apr-13
CS5761,28-Jan-15
CS6082,02-Mar-12
CS3702,22-May-11
CS1512,01-Apr-13
CS4569,03-Jul-14
CS2419,06-Jul-14
CS3942,21-May-13
CS4604,07-Apr-12
CS6056,21-Feb-13
CS2592,08-Sep-13
CS5152,30-Mar-14
CS4282,13-Jun-11
CS4509,21-Aug-12
CS2252,23-Sep-14
CS3367,27-Aug-13
CS4980,25-Jan-12
CS3128,03-Sep-11
CS3331,30-Jun-13
CS4166,31-Dec-12
CS5063,20-Jun-12
CS5971,15-Jan-14
CS5060,02-Oct-13
CS5810,30-Apr-13
CS2860,01-Aug-11
CS4490,12-Sep-14
CS5976,22-Jul-12
CS4775,30-Jul-12
CS4174,20-Nov-12
CS5211,13-Jan-15
CS3450,26-Oct-12
CS3945,17-Nov-12
CS2524,12-Apr-12
CS3379,07-Oct-14
CS4349,05-Feb-12
CS2776,01-Nov-12
CS1839,13-Nov-13
CS1322,25-Nov-13
CS3593,25-May-12
CS1981,21-May-11
CS4054,16-Aug-11
CS4533,21-Jan-15
CS2896,29-Dec-11
CS5616,12-Oct-13
CS3791,03-Jul-14
CS1951,29-May-11
CS2473,16-Jun-13
CS5894,17-Aug-13
CS1633,19-Dec-12
CS1977,01-Jul-13
CS6011,21-Feb-14
CS6044,17-Oct-13
CS4951,30-Oct-13
CS2798,02-Aug-11
CS2197,21-Sep-12
CS3011,03-Feb-14
CS1654,16-Dec-14
CS2424,05-Dec-13
CS3530,20-Apr-14
CS1803,18-Jul-13
CS4627,22-Jun-14
CS5154,05-Aug-12
CS3368,04-Dec-12
CS2435,19-Dec-13
CS4353,07-Feb-15
CS5305,14-Mar-12
CS3539,01-Jun-13
CS2087,29-Nov-12
CS5569,07-Aug-11
CS5038,15-Nov-14
CS4895,21-Jan-13
CS2873,26-Dec-11
CS5184,09-Feb-13
CS1930,19-Apr-13
CS4267,20-May-12
CS5109,01-Aug-14
CS5778,25-Nov-12
CS3400,02-Mar-12
CS2578,11-Sep-13
CS3374,25-Oct-11
CS1492,11-Sep-11
CS4121,21-Jan-13
CS5623,01-Mar-15
CS5118,26-Feb-12
CS3838,21-Aug-14
CS3713,01-Oct-13
CS3104,12-Jun-11
CS4964,30-Apr-12
CS5534,20-Jul-14
CS4723,01-Jan-14
CS3353,04-Dec-14
CS3789,13-Feb-14
CS4141,04-Feb-14
CS1626,23-Dec-12
CS2653,07-Apr-12
CS5227,13-Jan-14
CS4299,12-Jun-13
CS4675,02-Nov-11
CS1474,29-May-12
CS4892,23-May-12
CS3864,03-Aug-14
CS4259,05-Feb-12
CS4674,19-Dec-14
CS4904,15-Jun-14
CS1663,15-Mar-12
CS4527,12-Dec-12
CS3886,10-Apr-12
CS6090,26-Sep-12
CS5633,21-Jul-11
CS1971,09-Mar-13
CS2411,26-Sep-13
CS2168,29-Jan-15
CS5716,19-Mar-12
CS3069,15-Dec-11
CS4123,16-Oct-12
CS4310,29-Sep-14
CS1522,21-Apr-13
CS6085,24-Sep-13
CS1425,04-Jan-15
CS1398,02-Aug-14
CS3410,19-Jul-11
CS5930,15-Apr-14
CS3658,28-May-12
CS1743,12-Apr-14
CS5345,07-Oct-14
CS4853,12-Feb-14
CS4654,30-Apr-14
CS4355,30-Sep-14
CS1609,02-Feb-12
CS3857,08-Nov-13
CS4790,24-Dec-13
CS3261,31-Jul-12
CS5896,28-Sep-12
CS4499,19-Oct-12
CS2305,10-Jun-11
CS4363,09-Oct-14
CS5777,29-Jul-11
CS4557,29-Sep-12
CS5019,06-Nov-12
CS4285,27-Jan-15
CS5264,13-Feb-13
CS3960,26-May-12
CS2263,05-Jan-13
CS2721,21-Sep-13
CS3317,15-Feb-14
CS4849,03-Oct-11
CS2745,21-Jun-12
CS3373,03-Nov-12
CS2287,21-Mar-13
CS5050,03-Mar-15
CS3925,02-Nov-11
CS2528,16-Apr-13
CS2006,12-Jul-11
CS1257,11-Mar-13
CS5855,26-Feb-15
CS3411,28-Feb-15
CS5566,20-Nov-11
CS5050,02-Nov-13
CS3076,23-May-14
CS2898,14-Jul-12
CS4839,29-Dec-11
CS5208,14-Feb-15
CS2148,20-Aug-13
CS1306,21-Jan-12
CS4343,31-Jan-12
CS2699,23-Nov-13
CS6005,16-Feb-13
CS2540,28-Aug-14
CS2934,11-Apr-13
CS1791,04-Jun-14
CS5217,15-Jun-12
CS2329,11-Feb-14
CS4724,29-Oct-12
CS1909,26-Aug-12
CS3421,08-Jun-12
CS6025,20-Feb-14
CS4665,27-Dec-13
CS3708,19-Nov-13
CS3359,13-Mar-13
CS5382,29-Oct-11
CS4703,25-May-11
CS1433,20-Dec-14
CS3001,19-Jun-11
CS4924,03-Aug-14
CS4136,07-Jan-14
CS4224,12-May-13
CS1332,12-Jul-12
CS2962,25-Oct-14
CS1839,06-Feb-14
CS6025,08-Sep-11
CS1903,23-Nov-12
CS3080,27-Mar-13
CS2967,19-Dec-12
CS4084,11-Feb-15
CS3758,02-Apr-14
CS2376,21-May-14
CS6101,25-Jun-11
CS4282,28-Sep-13
CS3595,17-Feb-13
CS5043,22-Mar-14
CS3785,02-May-12
CS5370,03-Oct-14
CS2269,24-Sep-14
CS2979,29-Sep-11
CS3678,05-Sep-12
CS2927,31-Dec-12
CS4491,09-Mar-14
CS1844,25-Nov-11
CS3683,14-Sep-13
CS5057,04-Dec-13
CS2384,03-Aug-13
CS3655,29-Apr-12
CS3810,21-Aug-13
CS5241,26-Oct-12
CS3890,22-Dec-11
CS3155,06-Nov-12
CS3160,15-Sep-11
CS4573,03-Aug-12
CS1558,25-Jan-12
CS2243,28-Jan-12
CS2209,09-Oct-12
CS5182,28-Jul-12
CS6085,12-Sep-14
CS4462,08-Jul-12
CS2989,15-Jul-12
CS1683,22-Aug-13
CS4418,23-Jul-12
CS3404,21-Sep-14
CS3052,31-Dec-11
CS2618,10-Aug-14
CS5489,22-Jan-12
CS1396,15-Mar-13
CS2904,19-Oct-12
CS3281,07-Sep-13
CS4026,27-Dec-14
CS3249,09-Aug-12
CS2591,17-May-12
CS5420,15-May-14
CS5721,27-Mar-13
CS5065,02-Jan-14
CS1826,15-Apr-13
CS4578,05-Sep-13
CS1948,05-Mar-13
CS3930,09-Jun-13
CS6096,31-Oct-11
CS3157,20-Mar-12
CS2232,20-Jan-13
CS2502,04-Mar-14
CS1862,16-Jul-14
CS4054,12-Jun-13
CS5791,27-Jun-12
CS5484,04-Nov-12
CS1938,04-Jul-13
CS4203,20-Nov-12
CS5514,18-Aug-12
CS1549,05-May-12
CS4587,19-May-13
CS1194,24-Mar-14
CS2787,29-Oct-11
CS1583,16-Sep-13
CS2615,29-Apr-13
CS3163,14-Jun-12
CS3250,21-Nov-11
CS2119,09-Dec-14
CS5983,03-Sep-14
CS5531,17-May-11
CS1820,17-Oct-13
CS5131,06-Apr-13
CS2512,07-Jun-14
CS2531,08-Mar-14
CS5620,08-Jun-13
CS2913,13-Feb-12
CS4239,17-Feb-12
CS4654,16-Jul-13
CS5942,24-Nov-11
CS4721,03-May-12
CS2687,22-Dec-13
CS2305,06-Feb-15
CS3525,29-Apr-12
CS3928,30-Apr-12
CS4043,24-Oct-11
CS5742,16-Aug-11
CS3641,24-Oct-11
CS3071,13-Aug-12
CS3341,13-Dec-12
CS4428,12-May-12
CS4074,23-Jul-11
CS5650,14-Jun-11
CS3100,09-May-14
CS3332,30-Dec-14
CS5187,26-Feb-12
CS5952,05-Jun-11
CS1471,03-Sep-11
CS5181,03-Apr-12
CS1590,07-Sep-14
CS3819,18-Jun-14
CS2356,05-Jun-13
CS2600,26-Oct-12
CS2311,14-Dec-13
CS1749,25-Feb-13
CS1164,22-Sep-11
CS5367,05-Dec-11
CS4735,01-May-12
CS3475,21-Feb-12
CS1255,20-Dec-11
CS5709,06-Jun-13
CS5467,21-May-11
CS3568,28-Mar-14
CS4388,21-Oct-13
CS3251,03-Oct-11
CS1959,20-Aug-13
CS1244,14-Jul-11
CS4205,13-Dec-12
CS1201,20-Jan-14
CS1316,21-May-11
CS4694,21-Jul-12
CS5703,02-Mar-12
CS1562,06-Jun-12
CS3501,14-Aug-11
CS1233,10-Jun-12
CS5919,05-Mar-13
CS6092,27-Jan-14
CS4782,24-Apr-13
CS1523,24-Nov-13
CS5465,25-Sep-12
CS4716,04-Jul-11
CS5275,04-Nov-13
CS2652,25-Aug-14
CS4237,02-Feb-12
CS3911,29-Jul-14
CS4371,25-Jan-14
CS3165,20-Mar-14
CS3293,14-Jun-12
CS4653,14-Feb-13
CS3431,10-Sep-11
CS5415,10-Dec-13
CS2843,27-May-12
CS2729,15-Oct-11
CS4975,06-Nov-14
CS5207,20-Dec-11
CS3782,04-Jul-13
CS5186,23-Oct-12
CS4368,19-Jul-14
CS2269,05-Dec-13
CS5532,27-Dec-14
CS3355,24-Apr-14
CS1551,08-Jan-12
CS4103,19-Jun-14
CS5464,07-Nov-14
CS4086,23-Mar-13
CS3296,21-Jan-12
CS4023,01-Feb-14
CS2685,30-Oct-13
CS3508,26-Jan-12
CS1438,08-Feb-15
CS1399,13-Nov-12
CS2897,06-Aug-13
CS3826,29-Mar-14
CS1527,15-Oct-14
CS3414,13-Jan-12
CS2505,17-Oct-12
CS5482,14-Nov-13
CS4425,16-Nov-13
